中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
152.67.131.91,443,2a0b:21c0:100a:1b3:0:fd06:819c:bb76,DE,Frankfurt,隧道,252 ms,57 Mbps,7301 kB/s
158.101.214.45,443,2a0b:21c0:1007:c7:0:afda:3929:2e1e,DE,Frankfurt,隧道,269 ms,44 Mbps,5632 kB/s
132.226.11.170,443,2602:ffe4:407:20da:0:b262:c8f2:a284,SG,Singapore,隧道,146 ms,92 Mbps,11776 kB/s
89.168.75.49,443,2a0b:21c0:100a:1b3:0:e0e:66eb:a52a,DE,Frankfurt,隧道,243 ms,54 Mbps,6917 kB/s
144.21.51.56,443,2606:f240:f00:a683:0:a2a3:ec52:ee1f,US,Frankfurt,隧道,255 ms,13 Mbps,1743 kB/s
141.148.234.166,443,2a0b:21c0:100a:1b7:0:5abf:a57e:bd44,DE,Frankfurt,隧道,262 ms,36 Mbps,4661 kB/s
158.180.17.70,443,2a0b:21c0:100a:1f9:0:8185:1c81:ad0d,DE,Frankfurt,隧道,256 ms,29 Mbps,3740 kB/s
152.70.48.141,443,98.98.166.182,AE,Frankfurt,隧道,258 ms,11 Mbps,1506 kB/s
141.144.253.109,443,141.144.253.109,DE,Frankfurt,中转,247 ms,30 Mbps,3930 kB/s
138.2.112.216,443,2602:ffe4:407:20d9:0:bfe:6da0:2b6f,SG,Singapore,隧道,152 ms,108 Mbps,13824 kB/s
141.144.233.227,443,98.98.166.198,AE,Frankfurt,隧道,248 ms,12 Mbps,1644 kB/s
141.147.73.180,443,2a0b:21c0:100a:1b5:0:682:4d43:b61c,DE,Frankfurt,隧道,264 ms,9 Mbps,1279 kB/s
131.186.62.248,443,131.186.62.248,JP,Tokyo,中转,230 ms,36 Mbps,4689 kB/s
158.178.158.201,443,2a0b:21c0:1007:c7:0:a337:28b0:f18a,DE,Frankfurt,隧道,255 ms,50 Mbps,6486 kB/s
84.8.154.1,443,2a0b:21c0:1007:1cb:0:524f:d061:324f,DE,Frankfurt,隧道,254 ms,38 Mbps,4893 kB/s
152.70.52.123,443,2606:f240:f00:2be4:0:699b:4946:1a21,US,Frankfurt,隧道,252 ms,28 Mbps,3614 kB/s
141.147.41.214,443,98.98.156.10,AE,Frankfurt,隧道,260 ms,34 Mbps,4399 kB/s
141.148.225.185,443,2606:f240:f00:2be4:0:ccaf:a6dd:aa56,US,Frankfurt,隧道,297 ms,26 Mbps,3383 kB/s
168.138.41.79,443,104.28.206.113,JP,Osaka,隧道,234 ms,37 Mbps,4863 kB/s
131.186.34.184,443,2602:ffe4:407:21d9:0:3937:6bd3:c501,SG,Singapore,隧道,144 ms,93 Mbps,11980 kB/s
141.144.196.26,443,98.98.166.186,AE,Frankfurt,隧道,222 ms,65 Mbps,8349 kB/s
130.162.240.138,443,2a0b:21c0:1007:1c9:0:ca44:1c44:caaa,DE,Frankfurt,隧道,245 ms,47 Mbps,6111 kB/s
143.47.180.47,443,2606:f240:f00:5a42:0:5157:594e:e213,US,Frankfurt,隧道,258 ms,38 Mbps,4879 kB/s
192.18.159.129,443,192.18.159.129,CA,Toronto,中转,261 ms,33 Mbps,4254 kB/s
129.159.241.172,443,129.159.241.172,DE,Frankfurt,中转,388 ms,16 Mbps,2082 kB/s
130.162.245.72,443,2a0b:21c0:100a:1b0:0:4fcd:7561:5aa6,DE,Frankfurt,隧道,259 ms,13 Mbps,1674 kB/s
140.238.127.147,443,2a0b:21c0:100a:1b5:0:7769:6a33:5974,DE,Frankfurt,隧道,386 ms,9 Mbps,1259 kB/s
144.24.183.136,443,98.98.156.6,AE,Frankfurt,隧道,270 ms,44 Mbps,5685 kB/s
130.162.58.15,443,163.123.193.9,DE,Frankfurt,隧道,387 ms,35 Mbps,4499 kB/s
158.178.156.171,443,98.98.156.22,AE,Frankfurt,隧道,256 ms,24 Mbps,3075 kB/s
193.123.63.115,443,2a0b:21c0:100a:1fa:0:42fc:8a40:3e2e,DE,Frankfurt,隧道,281 ms,36 Mbps,4718 kB/s
138.2.160.196,443,2a0b:21c0:1007:1ca:0:f2d2:7bdb:4b41,DE,Frankfurt,隧道,253 ms,27 Mbps,3522 kB/s
141.147.102.46,443,2606:f240:f00:2be4:0:a376:a17d:b3cd,US,Frankfurt,隧道,369 ms,38 Mbps,4933 kB/s
140.238.33.161,443,2603:c021:8002:900:4858:eede:fd8a:dd52,JP,Tokyo,隧道,238 ms,23 Mbps,2964 kB/s
143.47.238.150,443,2a0b:21c0:1007:1cb:0:c3d1:2:66d,DE,Frankfurt,隧道,359 ms,45 Mbps,5799 kB/s
146.56.187.121,443,128.14.104.155,US,Singapore,隧道,244 ms,56 Mbps,7254 kB/s
158.179.169.162,443,2602:ffe4:407:21d9:0:1d94:268a:72c4,SG,Singapore,隧道,158 ms,118 Mbps,15155 kB/s
141.148.225.142,443,141.148.225.142,NL,Amsterdam,中转,256 ms,14 Mbps,1843 kB/s
143.47.248.200,443,2606:f240:f00:b2ed:0:e955:8341:ecd8,US,Frankfurt,隧道,363 ms,43 Mbps,5612 kB/s
132.145.11.3,443,2a0b:21c0:1007:ca:0:c4b:bc59:dcb5,DE,Frankfurt,隧道,327 ms,39 Mbps,5011 kB/s
141.144.193.209,443,2a0b:21c0:100a:1b4:0:9647:2454:354e,DE,Frankfurt,隧道,226 ms,16 Mbps,2106 kB/s
152.69.229.43,443,2602:ffe4:407:21d9:0:e5ab:392b:41d0,SG,Singapore,隧道,148 ms,127 Mbps,16281 kB/s
141.147.76.143,443,98.98.166.194,AE,Frankfurt,隧道,286 ms,40 Mbps,5148 kB/s
141.147.61.165,443,163.123.193.10,DE,Frankfurt,隧道,261 ms,54 Mbps,6948 kB/s
130.162.128.139,443,2602:ffe4:407:20d9:0:df37:eabb:50b2,SG,Singapore,隧道,380 ms,61 Mbps,7879 kB/s
130.61.198.35,443,98.98.166.170,AE,Frankfurt,隧道,268 ms,50 Mbps,6509 kB/s
131.186.43.121,443,2602:ffe4:407:21d9:0:1f54:81f6:9ba0,SG,Singapore,隧道,152 ms,88 Mbps,11264 kB/s
141.147.12.216,443,163.123.193.9,DE,Frankfurt,隧道,377 ms,9 Mbps,1155 kB/s
138.2.171.43,443,2606:f240:f00:b2ed:0:57f7:4bc6:c1da,US,Frankfurt,隧道,256 ms,44 Mbps,5753 kB/s
158.101.164.251,443,158.101.164.251,DE,Frankfurt,中转,259 ms,29 Mbps,3737 kB/s
158.101.213.98,443,2a0b:21c0:100a:1b6:0:679a:4a1c:2db5,DE,Frankfurt,隧道,342 ms,10 Mbps,1293 kB/s
143.47.237.198,443,2606:f240:f00:5a42:0:6dad:e2a7:d132,US,Frankfurt,隧道,272 ms,48 Mbps,6210 kB/s
129.146.248.140,443,129.146.248.140,US,Los Angeles,中转,224 ms,1 Mbps,201 kB/s
152.70.49.253,443,2a0b:21c0:1007:cb:0:9a25:4ca9:6b2a,DE,Frankfurt,隧道,257 ms,31 Mbps,4060 kB/s
138.2.116.135,443,2602:ffe4:407:21d9:0:43a:6a09:83c,SG,Singapore,隧道,157 ms,115 Mbps,14745 kB/s
158.101.83.18,443,2602:ffe4:407:20d9:0:e253:2d9b:fb12,SG,Singapore,隧道,141 ms,94 Mbps,12083 kB/s
155.248.196.123,443,155.248.196.123,US,Vancouver,中转,228 ms,0 Mbps,124 kB/s
130.162.228.21,443,98.98.166.194,AE,Frankfurt,隧道,245 ms,39 Mbps,5088 kB/s
150.230.47.17,443,150.230.47.17,US,San Jose,中转,218 ms,40 Mbps,5195 kB/s
192.9.172.26,443,192.9.172.26,AU,Sydney,中转,178 ms,84 Mbps,10854 kB/s
144.21.52.242,443,2a0b:21c0:1007:1c8:0:9e97:8a62:6607,DE,Frankfurt,隧道,272 ms,42 Mbps,5453 kB/s
158.179.172.95,443,158.179.172.95,KR,Seoul,中转,248 ms,16 Mbps,2123 kB/s
193.122.61.167,443,193.122.61.167,DE,Frankfurt,中转,260 ms,0 Mbps,80 kB/s
152.70.117.136,443,152.70.117.136,US,San Jose,中转,208 ms,48 Mbps,6200 kB/s
130.162.160.63,443,2a0b:21c0:100a:1b4:0:3388:10d6:49c0,DE,Frankfurt,隧道,261 ms,32 Mbps,4119 kB/s
158.101.200.133,443,2a0b:21c0:100a:1f9:0:dca8:996:ede3,DE,Frankfurt,隧道,251 ms,9 Mbps,1223 kB/s
132.226.1.227,443,2603:c021:8001:801:f494:88cb:3117:e10,JP,Tokyo,隧道,252 ms,40 Mbps,5158 kB/s
143.47.242.95,443,98.98.156.34,AE,Frankfurt,隧道,261 ms,24 Mbps,3149 kB/s
